english,korean,part_of_speech,difficulty,created_at,updated_at,example_sentence,example_translation,,,,,
283,enforcement,"집행, 시행",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Law enforcement is crucial to maintaining public safety.,법 집행은 공공 안전을 유지하는 데 매우 중요하다.,,,,,
284,assertiveness,단호하게 주장하는 능력,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Assertiveness is key in leadership and negotiations.,자기 주장력은 리더십과 협상에서 핵심이다.,,,,,
285,proactive,사전 예방적인,adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,We need to take a proactive approach to customer service.,고객 서비스에 능동적인 접근이 필요하다.,,,,,
286,advancement,"진보, 발전",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She received a promotion in recognition of her advancement.,그녀는 자신의 발전을 인정받아 승진했다.,,,,,
287,bin,쓰레기통,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Please put your trash in the bin.,쓰레기는 쓰레기통에 버려 주세요.,,,,,
288,chapter,"(책의) 장, 단원",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The next chapter of the book is very exciting.,그 책의 다음 장은 매우 흥미진진하다.,,,,,
289,undesirable,"원하지 않는, 바람직 하지 않은",adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Smoking in public places is considered undesirable.,공공장소에서의 흡연은 바람직하지 않다고 여겨진다.,,,,,
290,ground,"땅, 지면",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The plane remained on the ground due to bad weather.,악천후로 인해 비행기는 지상에 머물렀다.,,,,,
291,corresponding,일치하는,adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The corresponding page in the manual contains more details.,설명서의 해당 페이지에 더 많은 정보가 있다.,,,,,
292,curbside,도로 경계선 근처,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Please leave your recycling at the curbside on Thursday morning.,재활용품은 목요일 아침 도로변에 내놓아 주세요.,,,,,
293,sanitation,위생,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Sanitation workers collect garbage every Monday.,위생 작업자들은 매주 월요일에 쓰레기를 수거한다.,,,,,
294,against,반대하여,preposition,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He voted against the proposed changes.,그는 제안된 변경 사항에 반대 투표를 했다.,,,,,
295,bag,가방,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She packed her clothes into a small bag.,그녀는 작은 가방에 옷을 쌌다.,,,,,
296,outlying,"외곽의, 멀리 떨어진",adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The outlying areas of the city lack public transportation.,도심 외곽 지역은 대중교통이 부족하다.,,,,,
297,re-energize,새로운 활력을 주다,verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,A short break helped re-energize the team.,짧은 휴식이 팀에 활력을 되찾게 해주었다.,,,,,
298,exemption,"면제, 예외",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Students with low income may apply for a tuition exemption.,저소득 학생은 등록금 면제를 신청할 수 있다.,,,,,
299,high-profile,"세간의 이목을 끄는, 유명한",adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He resigned after a high-profile scandal.,그는 세간의 이목을 끈 스캔들 후 사임했다.,,,,,
300,publicist,"홍보 전문가, 홍보 담 당자",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Her publicist managed the press during the movie premiere.,그녀의 홍보 담당자가 영화 시사회 동안 언론을 관리했다.,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
